Abandon>T	# Dahan Explorer
Absorb>T	# Plant Gather
Abuse>T	# Fear Damage Blight
Ambush>AT	# Invader Dahan Damage
Attack	# Damage Invader
Beckon	# Gather
Bleach>T	# Badlands Blight
Bloom>I	# Plant Wilds Push
Blossom>AI	# Plant Wilds Push
Break	# Damage
Bubble>AI	# Water Air
Bury>T	# Earth Fear Damage
Cackle>I	# Fear
Capture>T	# Damage Invader Gather
Cast>AT	# Push
Cleanse>T	# Water Vitality RemoveBlight
Collide>I	# Damage Gather
Colonize	# Invader Explorer Town City
Complete>T	
Consume>T	# Fire Plant Wilds Blight Gather Fear
Craft>IT	# Defend
Crawl>AI	# Push Gather Beast Dahan Explorer
Creep>AI # Plant Push
Cross>AT	
Crystallize>IT	# Earth Fire Defend
Decay>I	# Plant Blight Disease
Defang>T	# Defend
Destroy>IT	# Damage Fear
Disembowel>T	# Damage Fear
Disintegrate	# Damage Blight
Draw	# Gather
Dream>I	# Moon
Drown>IT	# Water Damage
Eat	# Damage Fear Gather
Echo	# Air Earth
Eclipse>T	# Sun Moon Earth Isolate Fear
Educate>AT
Encircle>T	# Isolate Gather
Engulf>T	# Isolate Gather
Enlighten>T	# Sun Air Spirit RemoveBlight Spirit Defend
Entrance>IT	
Entrap>T	# Gather Isolate Wilds
Erupt	# Fire Earth Badlands
Eviscerate>AT	
Exalt>AT	# Sun Air Spirit RemoveBlight Spirit
Excite>T	# Gather Spirit
Expand	# Push Air
Expel>AT	# Push Air
Expire>IT	
Explode	# Fire Air Damage
Fight	# Damage Fear
Flood>AT	# Water
Flow>AI	# Water Push
Focus>IT	
Frighten>T	# Fear
Glow>I	# Sun Moon Vitality
Grant>T	
Grasp>AT	# Gather Isolate
Graze	# Animal Beast Vitality
Grow	# Plant Water Earth Sun Animal Beast
Guard>T	# Defend
Guide>AT
Hallucinate>IT	# Fear Moon
Haunt>T	# Fear Moon
Herd>AT	# Animal Beast Gather Push
Highten>T	
Howl>AI	# Animal Beast Air
Hunger>I	# Animal Beast Damage
Hunt	# Animal Beast Dahan Explorer
Ignite	# Fire Damage Blight Badlands
Incite>AT	# Strife
Inflame>AT	# Fire Strife
Intoxicate>I	# Disease Strife
Invade	# Explorer Invader Damage
Kill	# Dahan Invader Damage
Lead	# Gather
Leech>T	# Blight Disease
Lure>AT	# Gather
Lurk>AI	# Wilds Moon
Lynch>T	# Strife Damage
Migrate	# Animal Beast Gather Push
Mourn>IT	
Move	# Gather Push
Muddle>AT	
Murder	# Dahan Invader Damage Moon
Murmur	
Obscure>T	# Wilds Isolate Moon
Offer>IT	
Open>AT	# Gather
Outlast>T	# Defend
Outnumber>T	# Defend Damage
Overrun>AT	# Damage Dahan Invader
Pillage	# Damage Blight Town City
Pinch>T	
Poison>T	# Disease Blight
Pollute>AT	# Blight Earth Water Air
Preach	# Sun Moon Spirit Defend
Prey on>T	# Beast
Proselytize	# Sun Moon Spirit Defend
Prowl>AI	# Animal Beast Push
Pull	# Gather
Purify	# RemoveBlight Water Air Earth Sun
Pursue	# Push Gather
Quell>T	
Rage	# Strife Damage
Raise>AT	
Rampage	# Strife Damage Beast
Rant>AI	# Strife
Rave>I	# Strife
Reap	# Earth Plant
Renew>T	# RemoveBlight Sun Vitality
Respect>T	# Spirit Dahan
Restore>AT	# RemoveBlight Sun Vitality
Return	# Gather Dahan Explorer
Roam	# Push Gather Animal Beast Dahan Explorer
Rouse>AT	# Strife
Rust>I	# Blight Earth Water Damage
Sap>T	# Damage
Scatter	# Push Animal Beast Dahan Explorer
Scour>AT	# Blight Air Earth Damage
Scout	# Push Explorer Dahan
Scratch>IT	# Beast Damage
Scream>AI	# Fear Strife Dahan Explorer
Settle	# Explorer Dahan Plant Earth
Shake>IT	# Earth
Shatter>T	# Damage Blight Badlands
Silence>T	# Air Moon Isolate
Sleep>I	# Dahan Explorer Town City Invader Moon
Slither>AI	# Animal Beast Fear
Smother>AT	# Fear Defend
Snake>AI	# Animal Beast Fear
Spark>T	# Fire Strife
Speak	# Dahan Explorer Spirit
Spear>AT	# Damage Dahan Explorer
Spew	# Earth Water Push
Splinter>T	# Damage Town City Push
Spread	# Push Explorer Town City
Stab>AT	# Damage Dahan Explorer
Sting>IT	# Animal Beast Fear Damage
Strike	# Damage
Surprise>IT	# Fear Dahan Explorer
Surround>T	# Gather Town City Dahan
Swallow>T	# Gather
Tear>AT	# Damage
Tend>T	
Terrify>IT	# Fear Dahan Explorer
Thrash	# Damage Dahan Explorer Town City
Torch>T	# Fire Town City
Torture>IT	# Fear Dahan Explorer
Trade	# Dahan Explorer Town City
Transform	
Unleash>AT	# Animal Beast
Utter>AT	# Dahan Explorer Spirit
Wake>IT	# Dahan Explorer Town City Invader Sun
Weep>AI	# Dahan Explorer Spirit Water
Whisper	# Dahan Explorer Spirit Air
Wither>IT	# Plant Blight Damage
Witness>IT
Worship>IT	# Sun Moon Spirit Defend
